OLD Site,REF LOC_ID,New Site
ANC7151,T_ANC7151,
ANC7153,T_ANC7153,
ANC7154,T_ANC7154,
ANC7155,T_ANC7155,
ANC7158,T_ANC7158,
ANC7159,T_ANC7159,
ANC7160,T_ANC7160,
ANC7161,T_ANC7161,
ANC7162,T_ANC7162,
ANC7163,T_ANC7163,
ANC7164,T_ANC7164,
ANC7165,T_ANC7165,
ANC7166,T_ANC7166,
ANC7401,D_ANC7401,ANC7401
ANC7402,T_ANC7402,
ANC7600,T_ANC7600,
ANC7601,T_ANC7601,
ANC7602,T_ANC7602,
ANC7616,T_ANC7616,
ANC7617,T_ANC7617,
ANC7618,T_ANC7618,
ANC7619,T_ANC7619,
ANC7620,T_ANC7620,
ANC7720,T_ANC7720,
ANC8500,T_ANC8500,
ANC8503,T_ANC8503,
ANC8505,T_ANC8505,
ANC8506,T_ANC8506,
ANC8507,T_ANC8507,
ANC8508,T_ANC8508,
ANC8509,D_ANC8509,ANC8509
ANC8509DIF,T_ANC8509DIF,
ANC8510,T_ANC8510,
ANC8511,T_ANC8511,
ANC8512,T_ANC8512,
ANC8513,T_ANC8513,
ANC8514,T_ANC8514,
ANC8515,T_ANC8515,
ANC8517,T_ANC8517,
ANC8518,T_ANC8518,
ANC8519,T_ANC8519,
ANC8520,T_ANC8520,
ANC8521,T_ANC8521,
ANC8522,T_ANC8522,
ANC8523,T_ANC8523,
ANC8524,T_ANC8524,
ANC8525,T_ANC8525,
ANC8526,T_ANC8526,
ANC8527,T_ANC8527,
ANC8528,T_ANC8528,
ANC8529,T_ANC8529,
ANCCW01,T_ANCCW01,
ANCCW02,T_ANCCW02,
ANCCW04,T_ANCCW04,
ANCCW06,T_ANCCW06,
ANCCW07,T_ANCCW07,
ANCCW08,T_ANCCW08,
ANCEV01,T_ANCEV01,
ATG0001,D_ATG0001,
ATG0003,D_ATG0003,
ATG0005,T_ATG0005,ATGC003
ATG0006,D_ATG0006,
ATG0008,D_ATG0008,ATGC012
ATG0009,D_ATG0009,
ATG0010,D_ATG0010,
ATG0012,D_ATG0012,
ATG0013,D_ATG0013,
ATG0015,D_ATG0015,
ATG0016,D_ATG0016,
ATG0017,D_ATG0017,
ATG0018,D_ATG0018,
ATG0019,D_ATG0019,
ATG0020,D_ATG0020,
ATG0021,D_ATG0021,
ATG0022,D_ATG0022,
ATG0023,D_ATG0023,
ATG0024,D_ATG0024,
ATG0025,D_ATG0025,
ATG0026,D_ATG0026,
